ID;Data;ClienteID;TipoReservaID;FuncionarioID;FormaPagamentoID;Valor Total;Comissão;StatusID;AvaliacaoID
2003;01/01/2018;8;1;1;1;1345;67,25;1;5
2004;02/01/2018;2;1;1;1;1380;69;1;5
2005;03/01/2018;6;1;2;1;1415;70,75;2;5
2006;03/01/2018;7;1;2;2;3475;173,75;1;5
2007;04/01/2018;9;2;3;1;1450;72,5;1;5
2008;05/01/2018;10;2;4;1;1485;74,25;2;4
2009;05/01/2018;11;2;3;1;2400;120;1;4
2010;06/01/2018;12;1;3;3;1520;76;1;4
2011;07/01/2018;13;1;2;1;1555;77,75;1;3
2012;08/01/2018;14;1;1;1;1590;79,5;2;3
2013;09/01/2018;15;2;1;1;1625;81,25;1;5
2014;10/01/2018;16;2;2;2;1660;83;2;5
2015;11/01/2018;17;1;3;1;1695;84,75;1;5
2016;12/01/2018;18;1;4;1;1730;86,5;1;4
2017;13/01/2018;19;1;4;1;1765;88,25;2;3
2018;14/01/2018;20;2;2;1;1800;90;1;5
2019;15/01/2018;21;2;1;2;1835;91,75;1;5
2020;15/01/2018;22;1;4;1;5798;289,9;1;5
2021;16/01/2018;23;1;1;1;1870;93,5;1;5
2022;17/01/2018;24;1;2;3;1905;95,25;1;4
2023;17/01/2018;25;2;2;1;2345;117,25;1;4
2024;18/01/2018;26;1;3;1;1940;97;2;5
2025;19/01/2018;27;2;3;1;1975;98,75;1;5
2026;20/01/2018;7;2;3;2;2010;100,5;2;5
2027;21/01/2018;13;1;2;1;2045;102,25;1;3
2028;22/01/2018;25;1;1;1;2080;104;1;5
2029;23/01/2018;25;1;1;1;2115;105,75;2;5
2030;24/01/2018;19;2;2;1;2150;107,5;1;5
2031;25/01/2018;21;2;3;3;2185;109,25;2;4
2032;26/01/2018;24;1;4;1;2220;111;1;4
2033;27/01/2018;8;1;4;1;2255;112,75;1;5
2034;28/01/2018;21;1;2;1;2290;114,5;2;5
2035;29/01/2018;7;2;1;3;2325;116,25;1;5
2036;30/01/2018;13;2;1;3;2360;118;2;5
2037;31/01/2018;25;1;2;2;2395;119,75;1;5
2038;01/02/2018;25;1;3;1;2430;121,5;1;5
2039;02/02/2018;25;1;3;1;2465;123,25;2;4
